Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,South Warwickshire NHS Foundation Trust,03/07/2017,Consumables,Corporate Division,Nhs Supply Chain,32572,78756.44
Department of Health,South Warwickshire NHS Foundation Trust,03/07/2017,M&S-Other General Consumables,Emergency Division,St Jude Medical,773824,120300.0
Department of Health,South Warwickshire NHS Foundation Trust,05/07/2017,Serv.Recd-Miscellaneous,Corporate Division,Liaison StaffFlow,FP,33187.62
Department of Health,South Warwickshire NHS Foundation Trust,06/07/2017,Cap Exp Medical Equipment,Capital,Ge Medical Systems Limited,774321,56003.98
Department of Health,South Warwickshire NHS Foundation Trust,11/07/2017,Consumables,Corporate Division,Nhs Supply Chain,FP,92640.5
Department of Health,South Warwickshire NHS Foundation Trust,12/07/2017,Drugs,Pharmacy,Qualasept Ltd T/a Bath ASU,FP,53604.25
Department of Health,South Warwickshire NHS Foundation Trust,12/07/2017,Serv.Recd-Miscellaneous,Corporate Division,Liaison StaffFlow,FP,73888.84
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs-F.P.10'S,Support Services Division,Nhs Business Services Authority,32404,173089.34
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Pay Cost (Recharges In),Corporate Division,St Helen & Knowsley Hospitals Nhs Trust,32578,130000.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Consumables,Corporate Division,Nhs Supply Chain,32589,87722.53
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Alloga Uk Ltd,264780,27000.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Bayer Plc,264794,42058.5
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Novartis Pharmaceuticals Uk Ltd,264845,32054.4
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Novartis Pharmaceuticals Uk Ltd,264846,32082.52
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Novartis Pharmaceuticals Uk Ltd,264848,32111.93
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Roche Products Ltd,264860,87138.13
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Roche Products Ltd,264861,52428.07
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Roche Products Ltd,264862,36665.28
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Drugs,Pharmacy,Roche Products Ltd,265368,50151.24
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Serv.Recd-Miscellaneous,Emergency Division,Alliance Medical Ltd,771258,36644.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Serv.Recd-Miscellaneous,Emergency Division,Alliance Medical Ltd,771261,-33802.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Serv.Recd-Miscellaneous,Emergency Division,Alliance Medical Ltd,771300,27500.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Contract Domestic Serv.(Fixed),Support Services Division,Amey Community Ltd,771809,365353.62
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,M&S-Equip.Maint.Contracts(Ppm),Emergency Division,Mckesson Information Solutions Uk Ltd,776229,25672.42
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Cap Exp Medical Equipment,Capital,Spectrum Ophthalmics Ltd,776436,55551.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Blood/Products-Blood,Support Services Division,Nhs Blood And Transplant,DD,66090.0
Department of Health,South Warwickshire NHS Foundation Trust,17/07/2017,Scheme Contribution,Corporate Division,NHS Litigation Authority,DD,446231.8
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Drugs,Pharmacy,Bayer Plc,264791,31464.0
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Drugs,Pharmacy,Bayer Plc,265793,36708.0
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Cap Exp Works Elec Eng,Capital,Wt Parker Ltd,773018,24594.22
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,X Ray-Equipment Repairs,Emergency Division,Toshiba Medical Systems Ltd,773332,30000.0
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Cap Exp Medical Equipment,Capital,Conmed Uk,773371,62400.0
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Contract Domestic Serv.(Fixed),Support Services Division,Amey Community Ltd,774417,336252.16
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Contract Domestic Serv.(Fixed),Support Services Division,Amey Community Ltd,774418,112433.93
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Contract Portering Serv.(Fixed,Support Services Division,Amey Community Ltd,774420,31510.2
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,M&S-Other General Consumables,Emergency Division,St Jude Medical,775755,48960.0
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,M&S-Other General Consumables,Emergency Division,St Jude Medical,775756,37980.0
Department of Health,South Warwickshire NHS Foundation Trust,20/07/2017,Serv.Recd-Miscellaneous,Corporate Division,Liaison StaffFlow,FP,33607.69
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent-Payable,Corporate Division,Nhs Property Services,24408,33347.0
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent-Payable,Corporate Division,Nhs Property Services,25940,39693.5
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,28455,48292.0
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,28996,-26974.24
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,29215,44693.85
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,29219,37563.48
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,29865,44693.85
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,30348,44693.85
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Rent Payable-Recharge By Nhsps,Corporate Division,Nhs Property Services,31466,44693.85
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Consumables,Corporate Division,Nhs Supply Chain,32666,73093.34
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,M&S-Equip.Maint.Contracts(Ppm),Elective Care Division,Karl Storz Endoscopy (Uk) Ltd,774956,45690.92
Department of Health,South Warwickshire NHS Foundation Trust,24/07/2017,Drugs-Other,Support Services Division,Swft Clinical Services Ltd,776232,519704.92
Department of Health,South Warwickshire NHS Foundation Trust,26/07/2017,Serv.Recd-Miscellaneous,Corporate Division,Liaison StaffFlow,FP,65551.08
Department of Health,South Warwickshire NHS Foundation Trust,27/07/2017,Drugs,Pharmacy,Novartis Pharmaceuticals Uk Ltd,264844,32177.86
Department of Health,South Warwickshire NHS Foundation Trust,27/07/2017,Drugs,Pharmacy,Roche Products Ltd,266002,39410.74
Department of Health,South Warwickshire NHS Foundation Trust,27/07/2017,Rent-Additional Staff Parking,Support Services Division,Darsons Transport Ltd,776941,33280.0
Department of Health,South Warwickshire NHS Foundation Trust,31/07/2017,Consumables,Corporate Division,Nhs Supply Chain,32749,78707.72
